V_segment	demo1_IG	demo2_IG	demo3_IG
IGHV1-1	0	0.0158730158730159	0.0612244897959184
IGHV1-2	0.0569948186528497	0.0476190476190476	0.0204081632653061
IGHV10-1	0.0103626943005181	0.00793650793650794	0
IGHV11-1	0.0103626943005181	0.0158730158730159	0.0612244897959184
IGHV13S2	0.0414507772020725	0.0238095238095238	0.142857142857143
IGHV14S1	0.0207253886010363	0.0317460317460317	0.122448979591837
IGHV1S3	0.0103626943005181	0	0
IGHV1S4	0.0103626943005181	0.0238095238095238	0
IGHV2-1	0.0259067357512953	0.00793650793650794	0
IGHV2-2	0.0207253886010363	0.0238095238095238	0
IGHV3-2	0.0103626943005181	0.0238095238095238	0
IGHV4-1	0.0103626943005181	0.0158730158730159	0
IGHV4-2	0.113989637305699	0.0238095238095238	0.102040816326531
IGHV4-5	0.0103626943005181	0	0.0204081632653061
IGHV4-6-1	0.0259067357512953	0.0634920634920635	0.0204081632653061
IGHV4-6-2	0.0103626943005181	0.00793650793650794	0
IGHV4-6-3	0.0103626943005181	0.0317460317460317	0.0612244897959184
IGHV4-7	0.0103626943005181	0.0158730158730159	0
IGHV4-8	0.0155440414507772	0.0238095238095238	0
IGHV4-9	0.0103626943005181	0.0238095238095238	0.0204081632653061
IGHV5-1-1	0.0414507772020725	0.0634920634920635	0.0612244897959184
IGHV5-1-2	0.0155440414507772	0.0396825396825397	0.0204081632653061
IGHV5-1-3	0.0673575129533679	0.0555555555555556	0.0816326530612245
IGHV5-3	0.00518134715025907	0.00793650793650794	0.0204081632653061
IGHV5-4	0	0	0
IGHV5-5-1	0.113989637305699	0.134920634920635	0.0408163265306122
IGHV5-5-2	0.0466321243523316	0.0317460317460317	0.0204081632653061
IGHV5-5-3	0.00518134715025907	0.00793650793650794	0
IGHV6-1	0.0207253886010363	0.0476190476190476	0.0204081632653061
IGHV6-2	0.0103626943005181	0	0
IGHV7-1	0.00518134715025907	0.00793650793650794	0.0204081632653061
IGHV8-2	0.0259067357512953	0.00793650793650794	0
IGHV8-3	0.0155440414507772	0	0
IGHV8-4	0.0207253886010363	0.0158730158730159	0
IGHV9-1	0.119170984455959	0.0793650793650794	0.0612244897959184
IGHV9-2	0	0	0
IGHV9-3	0.0518134715025907	0.0714285714285714	0.0204081632653061
